year,PAX,IAA,Fri_ab,Fri_almost
1984,576448,,,
1985,638941,,,
1986,791011,,,
1987,893596,,,
1988,1124149,85.72,12.2,38.7
1989,1379523,90.21,7.6,33.1
1990,1460291,94.39,9.6,33.1
1991,1455090,96.98,10.7,32.4
1992,1398604,95.43,8.5,34.4
1993,1492069,95.59,8.9,34.5
1994,1644097,96.64,7.9,34
1995,1667203,97.99,7.6,34.6
1996,1526559,100.19,6.6,29.2
1997,1676434,101.17,6.2,32.7
1998,1954416,99.11,10.9,36.9
1999,2184121,99.68,12.8,35.5
2000,2472054,101.4,14.8,36.6
2001,2377321,100.84,11.9,28.4
2002,2320837,100.38,13.5,40.5
2003,1802542,101.27,13.7,41.3
2004,2443070,102.92,9,46.5
2005,2440139,104.62,12.5,38.7
2006,2338921,106.57,12.3,35.9
2007,2235963,107.51,14.9,39.9
2008,2378102,105.55,13.3,43.8
2009,3053311,96.59,21.7,41.4
2010,3023009,100.06,19,42.8
2011,3289051,99.28,20.3,41.9
2012,3518792,100.75,9.7,29.4
2013,2747750,101.98,8.4,32.3
2014,2280434,102.18,6.9,24.6
2015,1837782,102.48,6,27
2016,2297893,102.98,9.1,29
2017,2311447,104.79,8.3,29.3
