지점,지점명,일시,일사(MJ/m2)
257,양산시,2019-03-01 07:00,0
257,양산시,2019-03-01 08:00,.07
257,양산시,2019-03-01 09:00,.39
257,양산시,2019-03-01 10:00,.88
257,양산시,2019-03-01 11:00,1.29
257,양산시,2019-03-01 12:00,1.56
257,양산시,2019-03-01 13:00,1.64
257,양산시,2019-03-01 14:00,1.6
257,양산시,2019-03-01 15:00,1.35
257,양산시,2019-03-01 16:00,1.05
257,양산시,2019-03-01 17:00,.56
257,양산시,2019-03-01 18:00,.17
257,양산시,2019-03-01 19:00,0
257,양산시,2019-03-02 07:00,0
257,양산시,2019-03-02 08:00,.12
257,양산시,2019-03-02 09:00,.4
257,양산시,2019-03-02 10:00,.85
257,양산시,2019-03-02 11:00,.98
257,양산시,2019-03-02 12:00,1.41
257,양산시,2019-03-02 13:00,1.58
257,양산시,2019-03-02 14:00,1.19
257,양산시,2019-03-02 15:00,.7
257,양산시,2019-03-02 16:00,.59
257,양산시,2019-03-02 17:00,.32
257,양산시,2019-03-02 18:00,.13
257,양산시,2019-03-02 19:00,0
257,양산시,2019-03-03 07:00,0
257,양산시,2019-03-03 08:00,.08
257,양산시,2019-03-03 09:00,.31
257,양산시,2019-03-03 10:00,.77
257,양산시,2019-03-03 11:00,.87
257,양산시,2019-03-03 12:00,1.01
257,양산시,2019-03-03 13:00,.98
257,양산시,2019-03-03 14:00,1.09
257,양산시,2019-03-03 15:00,.69
257,양산시,2019-03-03 16:00,.42
257,양산시,2019-03-03 17:00,.23
257,양산시,2019-03-03 18:00,.09
257,양산시,2019-03-03 19:00,.01
257,양산시,2019-03-04 07:00,0
257,양산시,2019-03-04 08:00,.1
257,양산시,2019-03-04 09:00,.29
257,양산시,2019-03-04 10:00,.59
257,양산시,2019-03-04 11:00,1.2
257,양산시,2019-03-04 12:00,1.67
257,양산시,2019-03-04 13:00,1.73
257,양산시,2019-03-04 14:00,1.49
257,양산시,2019-03-04 15:00,1.43
257,양산시,2019-03-04 16:00,.91
257,양산시,2019-03-04 17:00,.43
257,양산시,2019-03-04 18:00,.17
257,양산시,2019-03-04 19:00,0
257,양산시,2019-03-05 07:00,0
257,양산시,2019-03-05 08:00,.11
257,양산시,2019-03-05 09:00,.44
257,양산시,2019-03-05 10:00,.68
257,양산시,2019-03-05 11:00,1.18
257,양산시,2019-03-05 12:00,1.26
257,양산시,2019-03-05 13:00,1.1
257,양산시,2019-03-05 14:00,1.06
257,양산시,2019-03-05 15:00,.87
257,양산시,2019-03-05 16:00,.58
257,양산시,2019-03-05 17:00,.32
257,양산시,2019-03-05 18:00,.1
257,양산시,2019-03-05 19:00,.01
257,양산시,2019-03-06 07:00,0
257,양산시,2019-03-06 08:00,.04
257,양산시,2019-03-06 09:00,.1
257,양산시,2019-03-06 10:00,.24
257,양산시,2019-03-06 11:00,.31
257,양산시,2019-03-06 12:00,.27
257,양산시,2019-03-06 13:00,.34
257,양산시,2019-03-06 14:00,.48
257,양산시,2019-03-06 15:00,.84
257,양산시,2019-03-06 16:00,.98
257,양산시,2019-03-06 17:00,.63
257,양산시,2019-03-06 18:00,.19
257,양산시,2019-03-06 19:00,0
257,양산시,2019-03-07 07:00,0
257,양산시,2019-03-07 08:00,.11
257,양산시,2019-03-07 09:00,.41
257,양산시,2019-03-07 10:00,.76
257,양산시,2019-03-07 11:00,1.3
257,양산시,2019-03-07 12:00,1.06
257,양산시,2019-03-07 13:00,.76
257,양산시,2019-03-07 14:00,1.25
257,양산시,2019-03-07 15:00,1.09
257,양산시,2019-03-07 16:00,.89
257,양산시,2019-03-07 17:00,.55
257,양산시,2019-03-07 18:00,.17
257,양산시,2019-03-07 19:00,0
257,양산시,2019-03-08 07:00,0
257,양산시,2019-03-08 08:00,.1
257,양산시,2019-03-08 09:00,.51
257,양산시,2019-03-08 10:00,.98
257,양산시,2019-03-08 11:00,1.37
257,양산시,2019-03-08 12:00,1.39
257,양산시,2019-03-08 13:00,.74
257,양산시,2019-03-08 14:00,1.3
257,양산시,2019-03-08 15:00,1.4
257,양산시,2019-03-08 16:00,1.09
257,양산시,2019-03-08 17:00,.67
257,양산시,2019-03-08 18:00,.22
257,양산시,2019-03-08 19:00,.01
257,양산시,2019-03-09 07:00,0
