 format: day,hour,forecast,value  location:53_114 Start : 20160301 
 1,0200,+4,3.000000 
 1,0200,+7,3.900000 
 1,0200,+10,1.800000 
 1,0200,+13,1.000000 
 1,0200,+16,1.800000 
 1,0200,+19,0.900000 
 1,0200,+22,2.000000 
 1,0200,+25,2.900000 
 1,0200,+28,5.400000 
 1,0200,+31,5.600000 
 1,0200,+34,3.400000 
 1,0200,+37,3.500000 
 1,0200,+40,1.800000 
 1,0200,+43,1.800000 
 1,0200,+46,0.900000 
 1,0200,+49,3.100000 
 1,0200,+52,3.300000 
 1,0200,+55,1.900000 
 1,0200,+58,0.800000 
 1,0200,+61,0.600000 
 1,0500,+4,3.900000 
 1,0500,+7,1.800000 
 1,0500,+10,1.000000 
 1,0500,+13,1.800000 
 1,0500,+16,0.900000 
 1,0500,+19,2.000000 
 1,0500,+22,2.900000 
 1,0500,+25,5.400000 
 1,0500,+28,5.600000 
 1,0500,+31,3.400000 
 1,0500,+34,3.500000 
 1,0500,+37,1.800000 
 1,0500,+40,1.800000 
 1,0500,+43,0.900000 
 1,0500,+46,3.100000 
 1,0500,+49,3.300000 
 1,0500,+52,1.900000 
 1,0500,+55,0.900000 
 1,0500,+58,0.600000 
 1,0800,+4,1.800000 
 1,0800,+7,1.000000 
 1,0800,+10,1.800000 
 1,0800,+13,0.900000 
 1,0800,+16,2.000000 
 1,0800,+19,2.800000 
 1,0800,+22,5.100000 
 1,0800,+25,5.400000 
 1,0800,+28,3.200000 
 1,0800,+31,3.500000 
 1,0800,+34,1.700000 
 1,0800,+37,1.800000 
 1,0800,+40,0.900000 
 1,0800,+43,3.100000 
 1,0800,+46,3.300000 
 1,0800,+49,1.800000 
 1,0800,+52,0.700000 
 1,0800,+55,0.600000 
 1,1100,+4,1.000000 
 1,1100,+7,1.800000 
 1,1100,+10,0.900000 
 1,1100,+13,2.000000 
 1,1100,+16,2.800000 
 1,1100,+19,5.100000 
 1,1100,+22,5.400000 
 1,1100,+25,3.200000 
 1,1100,+28,3.500000 
 1,1100,+31,1.700000 
 1,1100,+34,1.800000 
 1,1100,+37,0.900000 
 1,1100,+40,3.100000 
 1,1100,+43,3.300000 
 1,1100,+46,1.800000 
 1,1100,+49,0.700000 
 1,1100,+52,0.600000 
 1,1400,+4,1.800000 
 1,1400,+7,0.900000 
 1,1400,+10,2.000000 
 1,1400,+13,2.800000 
 1,1400,+16,5.100000 
 1,1400,+19,5.400000 
 1,1400,+22,3.200000 
 1,1400,+25,3.500000 
 1,1400,+28,1.700000 
 1,1400,+31,1.800000 
 1,1400,+34,0.900000 
 1,1400,+37,3.100000 
 1,1400,+40,3.300000 
 1,1400,+43,1.800000 
 1,1400,+46,0.700000 
 1,1400,+49,0.600000 
 1,1700,+4,0.900000 
 1,1700,+7,2.000000 
 1,1700,+10,2.800000 
 1,1700,+13,5.100000 
 1,1700,+16,5.400000 
 1,1700,+19,3.200000 
 1,1700,+22,3.500000 
 1,1700,+25,1.700000 
 1,1700,+28,1.800000 
 1,1700,+31,0.900000 
 1,1700,+34,3.100000 
 1,1700,+37,3.300000 
 1,1700,+40,1.800000 
 1,1700,+43,0.700000 
 1,1700,+46,0.600000 
 1,2000,+4,2.200000 
 1,2000,+7,4.300000 
 1,2000,+10,6.900000 
 1,2000,+13,7.600000 
 1,2000,+16,5.600000 
 1,2000,+19,4.200000 
 1,2000,+22,3.000000 
 1,2000,+25,2.300000 
 1,2000,+28,1.100000 
 1,2000,+31,2.300000 
 1,2000,+34,5.100000 
 1,2000,+37,5.000000 
 1,2000,+40,3.700000 
 1,2000,+43,2.600000 
 1,2000,+46,1.200000 
 1,2000,+49,1.100000 
 1,2000,+52,0.900000 
 1,2000,+55,3.800000 
 1,2000,+58,4.800000 
 1,2000,+61,4.400000 
 1,2000,+64,3.800000 
 1,2000,+67,3.100000 
 1,2300,+4,4.300000 
 1,2300,+7,6.900000 
 1,2300,+10,7.600000 
 1,2300,+13,5.600000 
 1,2300,+16,4.200000 
 1,2300,+19,3.000000 
