 format: day,hour,forecast,value  location:53_114 Start : 20170301 
 1,0200,+4,243.000000 
 1,0200,+7,349.000000 
 1,0200,+10,22.000000 
 1,0200,+13,2.000000 
 1,0200,+16,340.000000 
 1,0200,+19,341.000000 
 1,0200,+22,331.000000 
 1,0200,+25,331.000000 
 1,0200,+28,321.000000 
 1,0200,+31,319.000000 
 1,0200,+34,335.000000 
 1,0200,+37,323.000000 
 1,0200,+40,245.000000 
 1,0200,+43,169.000000 
 1,0200,+46,174.000000 
 1,0200,+49,221.000000 
 1,0200,+52,216.000000 
 1,0200,+55,205.000000 
 1,0200,+58,191.000000 
 1,0200,+61,187.000000 
 1,0500,+4,349.000000 
 1,0500,+7,22.000000 
 1,0500,+10,2.000000 
 1,0500,+13,340.000000 
 1,0500,+16,341.000000 
 1,0500,+19,331.000000 
 1,0500,+22,331.000000 
 1,0500,+25,321.000000 
 1,0500,+28,319.000000 
 1,0500,+31,335.000000 
 1,0500,+34,323.000000 
 1,0500,+37,245.000000 
 1,0500,+40,169.000000 
 1,0500,+43,174.000000 
 1,0500,+46,221.000000 
 1,0500,+49,216.000000 
 1,0500,+52,205.000000 
 1,0500,+55,191.000000 
 1,0500,+58,187.000000 
 1,0800,+4,339.000000 
 1,0800,+7,4.000000 
 1,0800,+10,336.000000 
 1,0800,+13,337.000000 
 1,0800,+16,324.000000 
 1,0800,+19,323.000000 
 1,0800,+22,315.000000 
 1,0800,+25,317.000000 
 1,0800,+28,334.000000 
 1,0800,+31,315.000000 
 1,0800,+34,257.000000 
 1,0800,+37,163.000000 
 1,0800,+40,180.000000 
 1,0800,+43,221.000000 
 1,0800,+46,216.000000 
 1,0800,+49,203.000000 
 1,0800,+52,195.000000 
 1,0800,+55,192.000000 
 1,1100,+4,4.000000 
 1,1100,+7,336.000000 
 1,1100,+10,337.000000 
 1,1100,+13,324.000000 
 1,1100,+16,323.000000 
 1,1100,+19,315.000000 
 1,1100,+22,317.000000 
 1,1100,+25,334.000000 
 1,1100,+28,315.000000 
 1,1100,+31,257.000000 
 1,1100,+34,163.000000 
 1,1100,+37,180.000000 
 1,1100,+40,221.000000 
 1,1100,+43,216.000000 
 1,1100,+46,203.000000 
 1,1100,+49,195.000000 
 1,1100,+52,192.000000 
 1,1400,+4,336.000000 
 1,1400,+7,337.000000 
 1,1400,+10,324.000000 
 1,1400,+13,323.000000 
 1,1400,+16,315.000000 
 1,1400,+19,317.000000 
 1,1400,+22,334.000000 
 1,1400,+25,315.000000 
 1,1400,+28,257.000000 
 1,1400,+31,163.000000 
 1,1400,+34,180.000000 
 1,1400,+37,221.000000 
 1,1400,+40,216.000000 
 1,1400,+43,203.000000 
 1,1400,+46,195.000000 
 1,1400,+49,192.000000 
 1,1700,+4,337.000000 
 1,1700,+7,324.000000 
 1,1700,+10,323.000000 
 1,1700,+13,315.000000 
 1,1700,+16,317.000000 
 1,1700,+19,334.000000 
 1,1700,+22,315.000000 
 1,1700,+25,257.000000 
 1,1700,+28,163.000000 
 1,1700,+31,180.000000 
 1,1700,+34,221.000000 
 1,1700,+37,216.000000 
 1,1700,+40,203.000000 
 1,1700,+43,195.000000 
 1,1700,+46,192.000000 
 1,2000,+4,330.000000 
 1,2000,+7,324.000000 
 1,2000,+10,322.000000 
 1,2000,+13,320.000000 
 1,2000,+16,329.000000 
 1,2000,+19,324.000000 
 1,2000,+22,258.000000 
 1,2000,+25,172.000000 
 1,2000,+28,173.000000 
 1,2000,+31,218.000000 
 1,2000,+34,216.000000 
 1,2000,+37,205.000000 
 1,2000,+40,195.000000 
