 format: day,hour,forecast,value  location:102_83 Start : 20150301 
 1,0200,+4,10.000000 
 1,0200,+7,8.200000 
 1,0200,+10,5.800000 
 1,0200,+13,3.000000 
 1,0200,+16,2.000000 
 1,0200,+19,1.200000 
 1,0200,+22,2.900000 
 1,0200,+25,8.100000 
 1,0200,+28,10.000000 
 1,0200,+31,7.600000 
 1,0200,+34,6.200000 
 1,0200,+37,3.800000 
 1,0200,+40,2.800000 
 1,0200,+43,2.400000 
 1,0200,+46,2.800000 
 1,0200,+49,6.700000 
 1,0200,+52,8.900000 
 1,0200,+55,7.900000 
 1,0200,+58,6.900000 
 1,0200,+61,4.800000 
 1,0500,+4,8.200000 
 1,0500,+7,5.800000 
 1,0500,+10,3.000000 
 1,0500,+13,2.000000 
 1,0500,+16,1.200000 
 1,0500,+19,2.900000 
 1,0500,+22,8.100000 
 1,0500,+25,10.000000 
 1,0500,+28,7.600000 
 1,0500,+31,6.200000 
 1,0500,+34,3.800000 
 1,0500,+37,2.800000 
 1,0500,+40,2.400000 
 1,0500,+43,2.800000 
 1,0500,+46,6.700000 
 1,0500,+49,8.900000 
 1,0500,+52,7.900000 
 1,0500,+55,6.900000 
 1,0500,+58,4.800000 
 1,0800,+4,5.100000 
 1,0800,+7,3.500000 
 1,0800,+10,2.000000 
 1,0800,+13,2.200000 
 1,0800,+16,3.300000 
 1,0800,+19,8.300000 
 1,0800,+22,10.100000 
 1,0800,+25,8.900000 
 1,0800,+28,7.000000 
 1,0800,+31,4.900000 
 1,0800,+34,3.900000 
 1,0800,+37,3.900000 
 1,0800,+40,4.900000 
 1,0800,+43,8.300000 
 1,0800,+46,9.000000 
 1,0800,+49,8.800000 
 1,0800,+52,7.000000 
 1,0800,+55,4.300000 
 1,1100,+4,3.500000 
 1,1100,+7,2.000000 
 1,1100,+10,2.200000 
 1,1100,+13,3.300000 
 1,1100,+16,8.300000 
 1,1100,+19,10.100000 
 1,1100,+22,8.900000 
 1,1100,+25,7.000000 
 1,1100,+28,4.900000 
 1,1100,+31,3.900000 
 1,1100,+34,3.900000 
 1,1100,+37,4.900000 
 1,1100,+40,8.300000 
 1,1100,+43,9.000000 
 1,1100,+46,8.800000 
 1,1100,+49,7.000000 
 1,1100,+52,4.300000 
 1,1400,+4,1.900000 
 1,1400,+7,1.500000 
 1,1400,+10,3.300000 
 1,1400,+13,8.300000 
 1,1400,+16,10.100000 
 1,1400,+19,8.900000 
 1,1400,+22,7.000000 
 1,1400,+25,4.900000 
 1,1400,+28,3.900000 
 1,1400,+31,3.900000 
 1,1400,+34,4.900000 
 1,1400,+37,8.300000 
 1,1400,+40,9.000000 
 1,1400,+43,8.800000 
 1,1400,+46,7.000000 
 1,1400,+49,4.300000 
 1,1700,+4,1.200000 
 1,1700,+7,3.300000 
 1,1700,+10,8.300000 
 1,1700,+13,10.100000 
 1,1700,+16,8.900000 
 1,1700,+19,7.000000 
 1,1700,+22,4.900000 
 1,1700,+25,3.900000 
 1,1700,+28,3.900000 
 1,1700,+31,4.900000 
 1,1700,+34,8.300000 
 1,1700,+37,9.000000 
 1,1700,+40,8.800000 
 1,1700,+43,7.000000 
 1,1700,+46,4.300000 
 1,2000,+4,3.100000 
 1,2000,+7,8.000000 
 1,2000,+10,10.600000 
 1,2000,+13,8.900000 
 1,2000,+16,6.300000 
 1,2000,+19,4.000000 
 1,2000,+22,3.000000 
 1,2000,+25,2.800000 
 1,2000,+28,3.000000 
 1,2000,+31,7.000000 
 1,2000,+34,8.900000 
 1,2000,+37,7.800000 
 1,2000,+40,5.800000 
 1,2000,+43,3.000000 
 1,2000,+46,0.900000 
 1,2000,+49,-1.200000 
 1,2000,+52,1.600000 
 1,2000,+55,4.800000 
 1,2000,+58,6.400000 
 1,2000,+61,5.200000 
 1,2000,+64,2.200000 
 1,2000,+67,1.200000 
 1,2300,+4,8.000000 
 1,2300,+7,10.600000 
 1,2300,+10,8.900000 
 1,2300,+13,6.300000 
 1,2300,+16,4.000000 
 1,2300,+19,3.000000 
 1,2300,+22,2.800000 
 1,2300,+25,3.000000 
 1,2300,+28,7.000000 
 1,2300,+31,8.900000 
 1,2300,+34,7.800000 
 1,2300,+37,5.800000 
 1,2300,+40,3.000000 
 1,2300,+43,0.900000 
 1,2300,+46,-1.200000 
 1,2300,+49,1.600000 
 1,2300,+52,4.800000 
 1,2300,+55,6.400000 
 1,2300,+58,5.200000 
 1,2300,+61,2.200000 
 1,2300,+64,1.200000 
 2,0200,+4,10.900000 
 2,0200,+7,8.800000 
 2,0200,+10,5.700000 
 2,0200,+13,3.300000 
 2,0200,+16,2.700000 
 2,0200,+19,2.400000 
 2,0200,+22,3.300000 
 2,0200,+25,7.200000 
 2,0200,+28,9.500000 
 2,0200,+31,8.400000 
 2,0200,+34,5.900000 
 2,0200,+37,3.800000 
 2,0200,+40,1.400000 
 2,0200,+43,-0.900000 
 2,0200,+46,2.000000 
 2,0200,+49,5.000000 
 2,0200,+52,6.600000 
 2,0200,+55,5.000000 
 2,0200,+58,2.400000 
 2,0200,+61,1.400000 
 2,0500,+4,8.800000 
 2,0500,+7,5.700000 
 2,0500,+10,3.300000 
 2,0500,+13,2.900000 
 2,0500,+16,2.600000 
 2,0500,+19,3.300000 
 2,0500,+22,7.100000 
 2,0500,+25,9.500000 
 2,0500,+28,8.400000 
 2,0500,+31,5.900000 
 2,0500,+34,3.800000 
 2,0500,+37,1.400000 
 2,0500,+40,-0.900000 
 2,0500,+43,2.000000 
 2,0500,+46,5.500000 
 2,0500,+49,7.200000 
 2,0500,+52,5.000000 
 2,0500,+55,2.400000 
 2,0500,+58,1.400000 
 2,0800,+4,5.400000 
 2,0800,+7,3.100000 
 2,0800,+10,3.000000 
 2,0800,+13,3.000000 
 2,0800,+16,4.000000 
 2,0800,+19,6.400000 
 2,0800,+22,7.700000 
 2,0800,+25,7.700000 
 2,0800,+28,6.000000 
 2,0800,+31,4.400000 
 2,0800,+34,3.100000 
 2,0800,+37,-0.900000 
 2,0800,+40,1.600000 
 2,0800,+43,5.500000 
 2,0800,+46,7.500000 
 2,0800,+49,5.500000 
 2,0800,+52,2.500000 
 2,0800,+55,1.700000 
 2,1100,+4,3.100000 
 2,1100,+7,3.000000 
 2,1100,+10,3.000000 
 2,1100,+13,4.000000 
 2,1100,+16,6.400000 
 2,1100,+19,7.700000 
 2,1100,+22,7.700000 
 2,1100,+25,6.000000 
 2,1100,+28,4.400000 
 2,1100,+31,3.100000 
 2,1100,+34,-0.900000 
 2,1100,+37,1.600000 
 2,1100,+40,5.500000 
 2,1100,+43,7.500000 
 2,1100,+46,5.500000 
 2,1100,+49,2.500000 
 2,1100,+52,1.700000 
 2,1400,+4,3.700000 
 2,1400,+7,3.300000 
 2,1400,+10,3.900000 
 2,1400,+13,6.100000 
 2,1400,+16,7.700000 
 2,1400,+19,7.100000 
