 format: day,hour,forecast,value  location:102_83 Start : 20170301 
 1,0200,+4,35.000000 
 1,0200,+7,50.000000 
 1,0200,+10,70.000000 
 1,0200,+13,80.000000 
 1,0200,+16,75.000000 
 1,0200,+19,85.000000 
 1,0200,+22,75.000000 
 1,0200,+25,55.000000 
 1,0200,+28,55.000000 
 1,0200,+31,60.000000 
 1,0200,+34,60.000000 
 1,0200,+37,55.000000 
 1,0200,+40,55.000000 
 1,0200,+43,55.000000 
 1,0200,+46,40.000000 
 1,0200,+49,30.000000 
 1,0200,+52,35.000000 
 1,0200,+55,45.000000 
 1,0200,+58,55.000000 
 1,0200,+61,60.000000 
 1,0500,+4,50.000000 
 1,0500,+7,70.000000 
 1,0500,+10,80.000000 
 1,0500,+13,75.000000 
 1,0500,+16,85.000000 
 1,0500,+19,75.000000 
 1,0500,+22,55.000000 
 1,0500,+25,55.000000 
 1,0500,+28,60.000000 
 1,0500,+31,60.000000 
 1,0500,+34,55.000000 
 1,0500,+37,55.000000 
 1,0500,+40,55.000000 
 1,0500,+43,40.000000 
 1,0500,+46,30.000000 
 1,0500,+49,35.000000 
 1,0500,+52,45.000000 
 1,0500,+55,55.000000 
 1,0500,+58,60.000000 
 1,0800,+4,65.000000 
 1,0800,+7,75.000000 
 1,0800,+10,80.000000 
 1,0800,+13,85.000000 
 1,0800,+16,75.000000 
 1,0800,+19,55.000000 
 1,0800,+22,50.000000 
 1,0800,+25,50.000000 
 1,0800,+28,50.000000 
 1,0800,+31,50.000000 
 1,0800,+34,50.000000 
 1,0800,+37,55.000000 
 1,0800,+40,40.000000 
 1,0800,+43,30.000000 
 1,0800,+46,35.000000 
 1,0800,+49,45.000000 
 1,0800,+52,55.000000 
 1,0800,+55,65.000000 
 1,1100,+4,75.000000 
 1,1100,+7,80.000000 
 1,1100,+10,85.000000 
 1,1100,+13,75.000000 
 1,1100,+16,55.000000 
 1,1100,+19,50.000000 
 1,1100,+22,50.000000 
 1,1100,+25,50.000000 
 1,1100,+28,50.000000 
 1,1100,+31,50.000000 
 1,1100,+34,55.000000 
 1,1100,+37,40.000000 
 1,1100,+40,30.000000 
 1,1100,+43,35.000000 
 1,1100,+46,45.000000 
 1,1100,+49,55.000000 
 1,1100,+52,65.000000 
 1,1400,+4,80.000000 
 1,1400,+7,85.000000 
 1,1400,+10,75.000000 
 1,1400,+13,55.000000 
 1,1400,+16,50.000000 
 1,1400,+19,50.000000 
 1,1400,+22,50.000000 
 1,1400,+25,50.000000 
 1,1400,+28,50.000000 
 1,1400,+31,55.000000 
 1,1400,+34,40.000000 
 1,1400,+37,30.000000 
 1,1400,+40,35.000000 
 1,1400,+43,45.000000 
 1,1400,+46,55.000000 
