 format: day,hour,forecast,value  location:102_83 Start : 20170301 
 1,0200,+4,211.000000 
 1,0200,+7,225.000000 
 1,0200,+10,229.000000 
 1,0200,+13,313.000000 
 1,0200,+16,318.000000 
 1,0200,+19,329.000000 
 1,0200,+22,324.000000 
 1,0200,+25,316.000000 
 1,0200,+28,316.000000 
 1,0200,+31,12.000000 
 1,0200,+34,313.000000 
 1,0200,+37,317.000000 
 1,0200,+40,313.000000 
 1,0200,+43,306.000000 
 1,0200,+46,324.000000 
 1,0200,+49,324.000000 
 1,0200,+52,313.000000 
 1,0200,+55,286.000000 
 1,0200,+58,266.000000 
 1,0200,+61,313.000000 
 1,0500,+4,225.000000 
 1,0500,+7,229.000000 
 1,0500,+10,313.000000 
 1,0500,+13,318.000000 
 1,0500,+16,329.000000 
 1,0500,+19,324.000000 
 1,0500,+22,316.000000 
 1,0500,+25,316.000000 
 1,0500,+28,12.000000 
 1,0500,+31,313.000000 
 1,0500,+34,317.000000 
 1,0500,+37,313.000000 
 1,0500,+40,306.000000 
 1,0500,+43,324.000000 
 1,0500,+46,324.000000 
 1,0500,+49,313.000000 
 1,0500,+52,286.000000 
 1,0500,+55,266.000000 
 1,0500,+58,313.000000 
 1,0800,+4,235.000000 
 1,0800,+7,149.000000 
 1,0800,+10,360.000000 
 1,0800,+13,330.000000 
 1,0800,+16,313.000000 
 1,0800,+19,308.000000 
 1,0800,+22,312.000000 
 1,0800,+25,313.000000 
 1,0800,+28,318.000000 
 1,0800,+31,322.000000 
 1,0800,+34,324.000000 
 1,0800,+37,306.000000 
 1,0800,+40,315.000000 
 1,0800,+43,327.000000 
 1,0800,+46,316.000000 
 1,0800,+49,305.000000 
 1,0800,+52,252.000000 
 1,0800,+55,290.000000 
 1,1100,+4,149.000000 
 1,1100,+7,360.000000 
 1,1100,+10,330.000000 
 1,1100,+13,313.000000 
 1,1100,+16,308.000000 
 1,1100,+19,312.000000 
 1,1100,+22,313.000000 
 1,1100,+25,318.000000 
 1,1100,+28,322.000000 
 1,1100,+31,324.000000 
 1,1100,+34,306.000000 
 1,1100,+37,315.000000 
 1,1100,+40,327.000000 
 1,1100,+43,316.000000 
 1,1100,+46,305.000000 
 1,1100,+49,252.000000 
 1,1100,+52,290.000000 
 1,1400,+4,360.000000 
 1,1400,+7,330.000000 
 1,1400,+10,313.000000 
 1,1400,+13,308.000000 
 1,1400,+16,312.000000 
 1,1400,+19,313.000000 
 1,1400,+22,318.000000 
 1,1400,+25,322.000000 
 1,1400,+28,324.000000 
 1,1400,+31,306.000000 
 1,1400,+34,315.000000 
 1,1400,+37,327.000000 
 1,1400,+40,316.000000 
 1,1400,+43,305.000000 
 1,1400,+46,252.000000 
 1,1400,+49,290.000000 
 1,1700,+4,330.000000 
 1,1700,+7,313.000000 
 1,1700,+10,308.000000 
 1,1700,+13,312.000000 
 1,1700,+16,313.000000 
 1,1700,+19,318.000000 
 1,1700,+22,322.000000 
 1,1700,+25,324.000000 
 1,1700,+28,306.000000 
 1,1700,+31,315.000000 
 1,1700,+34,327.000000 
 1,1700,+37,316.000000 
 1,1700,+40,305.000000 
 1,1700,+43,252.000000 
 1,1700,+46,290.000000 
 1,2000,+4,321.000000 
 1,2000,+7,313.000000 
 1,2000,+10,316.000000 
 1,2000,+13,322.000000 
 1,2000,+16,312.000000 
 1,2000,+19,320.000000 
 1,2000,+22,321.000000 
 1,2000,+25,308.000000 
 1,2000,+28,326.000000 
 1,2000,+31,321.000000 
 1,2000,+34,304.000000 
 1,2000,+37,265.000000 
 1,2000,+40,231.000000 
 1,2000,+43,308.000000 
 1,2000,+46,305.000000 
 1,2000,+49,312.000000 
 1,2000,+52,318.000000 
 1,2000,+55,266.000000 
 1,2000,+58,260.000000 
 1,2000,+61,287.000000 
 1,2000,+64,32.000000 
 1,2000,+67,320.000000 
 1,2300,+4,313.000000 
 1,2300,+7,316.000000 
 1,2300,+10,322.000000 
 1,2300,+13,312.000000 
 1,2300,+16,320.000000 
 1,2300,+19,321.000000 
 1,2300,+22,308.000000 
 1,2300,+25,326.000000 
 1,2300,+28,321.000000 
 1,2300,+31,304.000000 
 1,2300,+34,265.000000 
 1,2300,+37,231.000000 
 1,2300,+40,308.000000 
 1,2300,+43,305.000000 
 1,2300,+46,312.000000 
 1,2300,+49,318.000000 
 1,2300,+52,266.000000 
 1,2300,+55,260.000000 
 1,2300,+58,287.000000 
 1,2300,+61,32.000000 
 1,2300,+64,320.000000 
 2,0200,+4,316.000000 
 2,0200,+7,322.000000 
 2,0200,+10,312.000000 
 2,0200,+13,320.000000 
 2,0200,+16,321.000000 
 2,0200,+19,308.000000 
 2,0200,+22,326.000000 
 2,0200,+25,321.000000 
 2,0200,+28,304.000000 
 2,0200,+31,265.000000 
 2,0200,+34,231.000000 
 2,0200,+37,308.000000 
 2,0200,+40,305.000000 
 2,0200,+43,312.000000 
 2,0200,+46,318.000000 
 2,0200,+49,266.000000 
 2,0200,+52,260.000000 
 2,0200,+55,287.000000 
 2,0200,+58,32.000000 
 2,0200,+61,320.000000 
 2,0500,+4,322.000000 
 2,0500,+7,312.000000 
 2,0500,+10,320.000000 
 2,0500,+13,321.000000 
 2,0500,+16,308.000000 
 2,0500,+19,326.000000 
 2,0500,+22,321.000000 
 2,0500,+25,304.000000 
 2,0500,+28,265.000000 
 2,0500,+31,231.000000 
 2,0500,+34,308.000000 
 2,0500,+37,305.000000 
 2,0500,+40,312.000000 
 2,0500,+43,318.000000 
 2,0500,+46,266.000000 
 2,0500,+49,260.000000 
 2,0500,+52,287.000000 
 2,0500,+55,32.000000 
 2,0500,+58,320.000000 
 2,0800,+4,318.000000 
 2,0800,+7,317.000000 
 2,0800,+10,321.000000 
 2,0800,+13,294.000000 
 2,0800,+16,322.000000 
 2,0800,+19,328.000000 
 2,0800,+22,309.000000 
 2,0800,+25,282.000000 
 2,0800,+28,261.000000 
 2,0800,+31,315.000000 
 2,0800,+34,302.000000 
 2,0800,+37,297.000000 
 2,0800,+40,313.000000 
 2,0800,+43,286.000000 
 2,0800,+46,252.000000 
 2,0800,+49,344.000000 
 2,0800,+52,330.000000 
 2,0800,+55,293.000000 
 2,1100,+4,317.000000 
 2,1100,+7,321.000000 
 2,1100,+10,294.000000 
 2,1100,+13,322.000000 
 2,1100,+16,328.000000 
 2,1100,+19,309.000000 
 2,1100,+22,282.000000 
 2,1100,+25,261.000000 
 2,1100,+28,315.000000 
 2,1100,+31,302.000000 
 2,1100,+34,297.000000 
 2,1100,+37,313.000000 
 2,1100,+40,286.000000 
 2,1100,+43,252.000000 
 2,1100,+46,344.000000 
 2,1100,+49,330.000000 
 2,1100,+52,293.000000 
 2,1400,+4,321.000000 
 2,1400,+7,294.000000 
 2,1400,+10,322.000000 
 2,1400,+13,328.000000 
 2,1400,+16,309.000000 
 2,1400,+19,282.000000 
 2,1400,+22,261.000000 
 2,1400,+25,315.000000 
 2,1400,+28,302.000000 
 2,1400,+31,297.000000 
 2,1400,+34,313.000000 
 2,1400,+37,286.000000 
 2,1400,+40,252.000000 
 2,1400,+43,344.000000 
