,2017년01월,2017년02월,2017년03월,2017년04월,2017년05월,2017년06월,2017년07월,2017년08월,2017년09월,2017년10월,2017년11월,2017년12월,계
아시아주,1025675 ,1069490 ,989076 ,806214 ,740354 ,751215 ,761331 ,868506 ,841547 ,906097 ,870943 ,926157 ,10556605 
일  본,154862 ,185032 ,274478 ,165748 ,159379 ,167785 ,170634 ,226735 ,219968 ,179661 ,213460 ,193705 ,2311447 
중  국,565243 ,590790 ,360782 ,227811 ,253359 ,254930 ,281263 ,339388 ,318682 ,345384 ,299247 ,332474 ,4169353 
대  만,69623 ,75830 ,74512 ,79203 ,73641 ,77986 ,84678 ,81867 ,74379 ,81625 ,76534 ,75738 ,925616 
필리핀,36950 ,35286 ,40085 ,47256 ,39055 ,35226 ,32343 ,31020 ,33772 ,43589 ,37101 ,37019 ,448702 
홍  콩,55524 ,36845 ,47834 ,79067 ,51875 ,58590 ,57005 ,59259 ,45023 ,54962 ,53286 ,58761 ,658031 
태  국,41877 ,40023 ,52503 ,56351 ,40032 ,27860 ,24631 ,23497 ,30651 ,50079 ,50860 ,60147 ,498511 
말레이시아,20559 ,19836 ,30820 ,34441 ,23898 ,18118 ,12757 ,15711 ,20769 ,32356 ,33043 ,45333 ,307641 
싱가포르,9797 ,8923 ,21002 ,22912 ,18466 ,21482 ,10682 ,10764 ,15078 ,19054 ,21866 ,36144 ,216170 
인도네시아,19515 ,21133 ,21955 ,24278 ,17408 ,18760 ,16128 ,13957 ,16637 ,19981 ,19073 ,22012 ,230837 
인  도,12461 ,12446 ,11805 ,9518 ,11440 ,9530 ,10127 ,9945 ,9771 ,10023 ,8826 ,7524 ,123416 
베트남,13193 ,19021 ,25159 ,31324 ,25279 ,31688 ,31528 ,27572 ,28800 ,38472 ,28695 ,24009 ,324740 
미얀마,5521 ,5787 ,6679 ,5898 ,5842 ,5967 ,5538 ,5500 ,6014 ,5590 ,5191 ,6379 ,69906 
몽  골,8520 ,7286 ,8627 ,6771 ,6345 ,9782 ,8301 ,7426 ,9354 ,10294 ,11452 ,9758 ,103916 
스리랑카,1253 ,1265 ,1456 ,1426 ,1766 ,1940 ,1365 ,1558 ,1909 ,1585 ,1021 ,1134 ,17678 
파키스탄,900 ,1341 ,1292 ,1071 ,1066 ,754 ,1188 ,1156 ,1178 ,1317 ,917 ,921 ,13101 
방글라데시,786 ,1160 ,1224 ,1108 ,1051 ,886 ,1195 ,1302 ,1459 ,1615 ,1026 ,1271 ,14083 
아시아주 기타,9091 ,7486 ,8863 ,12031 ,10452 ,9931 ,11968 ,11849 ,8103 ,10510 ,9345 ,13828 ,123457 
중 동,14359 ,15233 ,18950 ,18076 ,16659 ,16917 ,21291 ,21495 ,20049 ,20917 ,17997 ,15595 ,217538 
우즈베키스탄,5400 ,5550 ,6009 ,5637 ,6433 ,6491 ,6950 ,7099 ,7353 ,7102 ,6598 ,5306 ,75928 
터  키,1749 ,1703 ,2138 ,2250 ,2125 ,2265 ,2418 ,2889 ,2636 ,2484 ,2391 ,2224 ,27272 
이스라엘,888 ,820 ,1310 ,1855 ,1003 ,827 ,1099 ,952 ,1289 ,1777 ,950 ,737 ,13507 
이  란,621 ,599 ,851 ,560 ,768 ,930 ,854 ,1018 ,983 ,903 ,755 ,626 ,9468 
카자흐스탄,3075 ,3579 ,3882 ,3726 ,3258 ,3535 ,4081 ,3781 ,3674 ,4376 ,3976 ,3544 ,44487 
요르단,163 ,165 ,256 ,228 ,199 ,161 ,238 ,213 ,271 ,404 ,245 ,152 ,2695 
사우디아라비아,594 ,659 ,867 ,816 ,694 ,589 ,1820 ,2115 ,1125 ,990 ,587 ,445 ,11301 
이라크,118 ,176 ,203 ,211 ,168 ,108 ,216 ,305 ,195 ,283 ,213 ,251 ,2447 
중 동 기타,1751 ,1982 ,3434 ,2793 ,2011 ,2011 ,3615 ,3123 ,2523 ,2598 ,2282 ,2310 ,30433 
미 주,74624 ,69439 ,94387 ,107394 ,99262 ,105729 ,104470 ,92919 ,91382 ,104588 ,88227 ,84686 ,1117107 
